Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
ID001002XY,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
ID001003XY,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
ID001005XY,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
ID001006XY,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
ID001008XY,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
ID001011XY,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
ID001013XY,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
ID001014XY,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
ID001018XY,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
ID001020XY,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
ID001024XY,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
ID001027XY,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
ID001028XY,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
ID001029XY,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
ID001030XY,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
ID001032XY,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
ID001034XY,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
ID001036XY,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
ID001038XY,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
ID001041XY,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
ID001043XY,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
ID001046XY,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
ID001047XY,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
ID001050XY,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
ID001052XY,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
ID001066XY,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
ID001068XY,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
ID001073XY,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
ID001086XY,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
ID001087XY,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
ID001091XY,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
ID001095XY,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
ID001097XY,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
ID001098XY,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
ID001100XY,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
ID001106XY,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
ID001109XY,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N
ID001112XY,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
ID001114XY,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
ID001116XY,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
ID001119XY,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
ID001120XY,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
ID001123XY,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
ID001131XY,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
ID001136XY,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
ID001137XY,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
ID001138XY,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
ID001144XY,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
ID001146XY,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
ID001151XY,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
ID001155XY,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
ID001157XY,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
ID001164XY,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
ID001179XY,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
ID001186XY,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
ID001194XY,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
ID001195XY,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
ID001197XY,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
ID001198XY,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
ID001199XY,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
ID001205XY,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
ID001206XY,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
ID001207XY,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
ID001213XY,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
ID001222XY,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
ID001225XY,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
ID001228XY,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
ID001233XY,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
ID001238XY,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
ID001241XY,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
ID001243XY,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
ID001245XY,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
ID001248XY,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
ID001250XY,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N
ID001253XY,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
ID001255XY,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
ID001256XY,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
ID001259XY,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
ID001263XY,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
ID001264XY,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
ID001265XY,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
ID001266XY,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
ID001267XY,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
ID001273XY,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
ID001275XY,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
ID001279XY,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
ID001280XY,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y
ID001282XY,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
ID001289XY,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
ID001310XY,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
ID001316XY,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
ID001318XY,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
ID001319XY,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
ID001322XY,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
ID001325XY,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
ID001326XY,Male,No,0,Graduate,,6782,0,,360,,Urban,N
ID001327XY,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
ID001333XY,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
ID001334XY,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
ID001343XY,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
ID001345XY,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
ID001349XY,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
ID001350XY,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y
ID001356XY,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y
ID001357XY,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y
ID001367XY,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
ID001369XY,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
ID001370XY,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N
ID001379XY,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
ID001384XY,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
ID001385XY,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
ID001387XY,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y
ID001391XY,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N
ID001392XY,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y
ID001398XY,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y
ID001401XY,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
ID001404XY,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
ID001405XY,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y
ID001421XY,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
ID001422XY,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
ID001426XY,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y
ID001430XY,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
ID001431XY,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
ID001432XY,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
ID001439XY,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
ID001443XY,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
ID001448XY,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y
ID001449XY,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
ID001451XY,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
ID001465XY,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N
ID001469XY,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y
ID001473XY,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
ID001478XY,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
ID001482XY,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
ID001487XY,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
ID001488XY,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N
ID001489XY,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
ID001491XY,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
ID001492XY,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
ID001493XY,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
ID001497XY,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
ID001498XY,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
ID001504XY,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
ID001507XY,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
ID001508XY,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
ID001514XY,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
ID001516XY,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
ID001518XY,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
ID001519XY,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
ID001520XY,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
ID001528XY,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
ID001529XY,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
ID001531XY,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
ID001532XY,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
ID001535XY,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
ID001536XY,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y
ID001541XY,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y
ID001543XY,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
ID001546XY,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
ID001552XY,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
ID001560XY,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
ID001562XY,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
ID001565XY,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
ID001570XY,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
ID001572XY,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
ID001574XY,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y
ID001577XY,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
ID001578XY,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
ID001579XY,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
ID001580XY,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
ID001581XY,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
ID001585XY,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y
ID001586XY,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
ID001594XY,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
ID001603XY,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
ID001606XY,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
ID001608XY,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
ID001610XY,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N
ID001616XY,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
ID001630XY,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
ID001633XY,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
ID001634XY,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N
ID001636XY,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
ID001637XY,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
ID001639XY,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
ID001640XY,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
ID001641XY,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
ID001643XY,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y
ID001644XY,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
ID001647XY,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
ID001653XY,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
ID001656XY,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
ID001657XY,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
ID001658XY,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
ID001664XY,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
ID001665XY,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
ID001666XY,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
ID001669XY,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
ID001671XY,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
ID001673XY,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
ID001674XY,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
ID001677XY,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
ID001682XY,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
ID001688XY,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
ID001691XY,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
ID001692XY,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
ID001693XY,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
ID001698XY,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
ID001699XY,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
ID001702XY,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
ID001708XY,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
ID001711XY,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
ID001713XY,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
ID001715XY,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
ID001716XY,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
ID001720XY,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
ID001722XY,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
ID001726XY,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
ID001732XY,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
ID001734XY,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
ID001736XY,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
ID001743XY,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
ID001744XY,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
ID001749XY,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
ID001750XY,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
ID001751XY,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N
ID001754XY,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
ID001758XY,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
ID001760XY,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y
ID001761XY,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
ID001765XY,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
ID001768XY,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
ID001770XY,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
ID001776XY,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
ID001778XY,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
ID001784XY,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
ID001786XY,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N
ID001788XY,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
ID001790XY,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
ID001792XY,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
ID001798XY,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
ID001800XY,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
ID001806XY,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
ID001807XY,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
ID001811XY,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
